INN;Name;site1;site2;site_list_org;orgname_keywords;orgname_keywords2;addr_keywords;site1_rates;site2_rates;site3_rates;site1_tot;site2_tot;site3_tot;site1_adr;site2_adr;site3_adr;site1_ul;site2_ul;site3_ul
7447010227;"АО ""ЧЭМК""";chemk.ru;chemk.ru;http://kilmz.ru;['ЧЭМК'];['ЧЕЛЯБИНСКИЙ', 'ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ'];['ЧЕЛЯБИНСК', 'ТАНКОГРАДА'];[4, 4, 5, 1];[];[1, 0, 2, 0];14;0;3;5;0;2;1;0;0
7327012462;"ПАО ""Ульяновскэнерго""";ulenergo.ru;ulenergo.ru;ulenergo.ru;['УЛЬЯНОВСКЭНЕРГО'];[];['УЛЬЯНОВСК', 'СТАНКОСТРОИТЕЛЕЙ'];[3, 0, 8, 0];[];[];11;0;0;8;0;0;0;0;0
711008455;"АО ""Каббалкэнерго""";kabbalkenergo.ru;kabbalkenergo.ru;www.kabene.elektra.ru/;['КАББАЛКЭНЕРГО'];['МЕЖРЕГИОНАЛЬНАЯ'];['НАЛЬЧИК', 'ЩОРСА'];[18, 0, 4, 1];[];[];23;0;0;4;0;0;1;0;0
901000327;"АО ""Карачаево-Черкесскэнерго""";kchenergo.ru;;#Н/Д;['КАРАЧАЕВО-ЧЕРКЕССКЭНЕРГО'];[];[];[19, 0, 0, 0];[];[];19;0;0;0;0;0;0;0;0
1502002701;"АО ""Севкавказэнерго""";sevkavenergo.ru;sevkavenergo.ru;www.vladi.elektra.ru/;['СЕВКАВКАЗЭНЕРГО'];[];['ВЛАДИКАВКАЗ', 'ТАМАЕВА'];[24, 0, 5, 0];[];[];29;0;0;5;0;0;0;0;0
6315222985;"ПАО ""Самараэнерго""";samaraenergo.ru;samaraenergo.ru;www.aosamen.elektra.ru/;['САМАРАЭНЕРГО'];[];['САМАРА', 'МАЯКОВСКОГО'];[30, 0, 31, 0];[];[];61;0;0;31;0;0;0;0;0
3903007130;"ОАО ""Янтарьэнерго""";yantarenergo.ru;yantarenergo.ru;nrcreg.ru;['ЯНТАРЬЭНЕРГО'];[];['КАЛИНИНГРАД', 'ТЕАТРАЛЬНАЯ'];[14, 0, 24, 0];[];[0, 0, 0, 0];38;0;0;24;0;0;0;0;0
1500000113;"ПАО ""Электроцинк""";electrozinc.ugmk.com;electrozinc.ugmk.com;http://electrozinc.ugmk.com;['ЭЛЕКТРОЦИНК'];[];['ВЛАДИКАВКАЗ', 'ЗАВОДСКАЯ'];[23, 0, 0, 0];[];[23, 0, 0, 0];23;0;23;0;0;0;0;0;0
6450014808;"ПАО ""Саратовэнерго""";saratovenergo.ru;saratovenergo.ru;www.saren.ru;['САРАТОВЭНЕРГО'];[];['САРАТОВ', 'ЧЕРНЫШЕВСКОГО'];[6, 0, 11, 0];[];[0, 0, 0, 0];17;0;0;11;0;0;0;0;0
602013494;"АО ""Ингушэнерго""";ingush-energo.ru;rosseti.ru;http://ingush-energo.ru;['ИНГУШЭНЕРГО'];[];['ИНГУШЕТИЯ', 'НАЗРАНЬ', 'МУТАЛИЕВА'];[13, 0, 7, 1];[0, 0, 0, 0];[13, 0, 7, 1];21;0;21;7;0;7;1;0;1
8602060185;"ОАО ""Тюменьэнерго""";te.ru;te.ru;www.surgut.elektra.ru;['ТЮМЕНЬЭНЕРГО'];[];['ТЮМЕНСКАЯ', 'СУРГУТ', 'УНИВЕРСИТЕТСКАЯ'];[];[];[];0;0;0;0;0;0;0;0;0
4200000333;"АО ""Кузбассэнерго""";sibgenco.ru;companies/ao-kuzbassenergo/;www.kuzbassenergo.ru;['КУЗБАССЭНЕРГО'];['СИБИРСКАЯ', 'ГЕНЕРИРУЮЩАЯ'];['БАРНАУЛ', 'БРИЛЛИАНТОВАЯ'];[0, 8, 1, 0];[15, 16, 8, 0];[];9;39;0;1;8;0;0;0;0
7705035012;"ПАО ""Мосэнерго""";mosenergo.ru;mosenergo.ru;www.mosenergo.ru;['МОСЭНЕРГО'];[];['МОСКВА', 'РАУШСКАЯ'];[20, 0, 2, 0];[];[20, 0, 2, 0];22;0;22;2;0;2;0;0;0
3435900186;"АО ""ВТЗ""";vtz.tmk-group.ru;;acsesscase.ru;['ВТЗ'];['ВОЛЖСКИЙ', 'ТРУБНЫЙ'];['ВОЛГОГРАДСКАЯ', 'ВОЛЖСКИЙ', 'АВТОДОРОГА'];[7, 13, 8, 1];[];[];29;0;0;8;0;0;1;0;0
6612005052;"АО ""РУСАЛ Урал""";uaz.rusal.ru;baz.rusal.ru;www.sual.ru;['РУСАЛ', 'УРАЛ'];['ОБЪЕДИНЕННАЯ', 'УРАЛЬСКИЙ', 'АЛЮМИНИЙ'];['СВЕРДЛОВСКАЯ', 'КАМЕНСК-УРАЛЬСКИЙ', 'ОКТЯБРЬСКАЯ'];[20, 5, 6, 0];[22, 5, 4, 0];[];31;31;0;6;4;0;0;0;0
5921002018;"АО ""ЧМЗ""";chmz.net;cmz.ru;http://chmz.ru;['ЧМЗ'];['ЧУСОВСКОЙ', 'МЕТАЛЛУРГИЧЕСКИЙ'];['ПЕРМСКИЙ', 'ЧУСОВОЙ', 'ТРУДОВАЯ'];[9, 0, 0, 0];[9, 0, 0, 0];[15, 24, 6, 2];9;9;47;0;0;6;0;0;2
1701029232;"ОАО ""Тываэнерго""";tuvaenergo.ru;tuvaenergo.ru;0;['ТЫВАЭНЕРГО'];[];['КЫЗЫЛ', 'КОЛХОЗНАЯ'];[];[];[];0;0;0;0;0;0;0;0;0
2632021520;"ОАО ""Пятигорские электрические сети""";elseti.ru;;elseti.ru;['ПЯТИГОРСКИЕ', 'ЭЛЕКТРИЧЕСКИЕ', 'СЕТИ'];[];['СТАВРОПОЛЬСКИЙ', 'ПЯТИГОРСК', 'ДУНАЕВСКОГО'];[15, 0, 9, 0];[];[15, 0, 9, 0];24;0;24;9;0;9;0;0;0
1501000010;"АО ""Победит""";ao-pobedit.ru;ao-pobedit.ru;0;['ПОБЕДИТ'];[];['ВЛАДИКАВКАЗ', 'ЗАВОДСКАЯ'];[5, 0, 3, 1];[];[];9;0;0;3;0;0;1;0;0
5247004695;"ОАО ""ВМЗ""";omk.ru;vmz/;www.vsw.ru;['ВМЗ'];['ВЫКСУНСКИЙ', 'МЕТАЛЛУРГИЧЕСКИЙ'];['НИЖЕГОРОДСКАЯ', 'ВЫКСА', 'БАТАШЕВЫХ'];[3, 8, 1, 0];[8, 24, 6, 2];[3, 8, 1, 0];12;40;12;1;6;1;0;2;0
5835009394;"ОАО ""Пензхиммаш""";phimmash.ru;phimmash.ru;www.autofan58.ru;['ПЕНЗХИММАШ'];['ПЕНЗЕНСКИЙ', 'ХИМИЧЕСКОГО', 'МАШИНОСТРОЕНИЯ'];['ПЕНЗА', 'ТИТОВА'];[5, 3, 2, 1];[];[0, 0, 2, 0];11;0;2;2;0;2;1;0;0
6440001060;"ОАО ""Балтекс""";newbaltex.ru;BaltTex.ru;#Н/Д;['БАЛТЕКС'];[];[];[15, 0, 0, 0];[1, 0, 0, 0];[];15;1;0;0;0;0;0;0;0
3442050780;"ЗАО ""ВМЗ ""Красный Октябрь""""";vmzko.ru;Page/Index/497;0;['ВМЗ', 'КРАСНЫЙ', 'ОКТЯБРЬ'];['ВОЛГОГРАДСКИЙ', 'МЕТАЛЛУРГИЧЕСКИЙ'];['ВОЛГОГРАД', 'ЛЕНИНА'];[10, 3, 1, 0];[28, 8, 5, 0];[];14;41;0;1;5;0;0;0;0
3127000014;"АО ""Лебединский ГОК""";metalloinvest.com;business/mining-segment/lgok/…;http://www.metalloinvest.com/business/mining-segment/lgok/;['ЛЕБЕДИНСКИЙ', 'ГОК'];['ГОРНО-ОБОГАТИТЕЛЬНЫЙ'];['БЕЛГОРОДСКАЯ', 'ГУБКИН', 'П/О-11'];[4, 0, 0, 0];[0, 0, 0, 0];[34, 0, 0, 0];4;0;34;0;0;0;0;0;0
7525003389;"ОАО ""Жирекенский ГОК""";sibindustry.ru;firm.asp?prm=58276;0;['ЖИРЕКЕНСКИЙ', 'ГОК'];['ГОРНО-ОБОГАТИТЕЛЬНЫЙ'];['ЧИТИНСКАЯ', 'ЧЕРНЫШЕВСКИЙ', 'ЖИРЕКЕН'];[0, 0, 0, 0];[4, 2, 8, 6];[];0;20;0;0;8;0;0;6;0
7709317988;"ООО ""Энермет""";энермет.рф;энермет.рф;0;['ЭНЕРМЕТ'];[];['МОСКВА', 'ВОЛГОГРАДСКИЙ'];[6, 0, 0, 0];[];[];6;0;0;0;0;0;0;0;0
3800000220;"ПАО ""Иркутскэнерго""";irkutskenergo.ru;irkutskenergo.ru;www.irkutskenergo.ru;['ИРКУТСКЭНЕРГО'];[];['ИРКУТСК', 'СУХЭ-БАТОРА'];[12, 0, 12, 0];[];[12, 0, 12, 0];24;0;24;12;0;12;0;0;0
5834001025;"ПАО ""Биосинтез""";biosintez.com;biosintez.com;www.biosintez.com;['БИОСИНТЕЗ'];[];['ПЕНЗА', 'ДРУЖБЫ'];[0, 0, 0, 0];[];[0, 0, 0, 0];0;0;0;0;0;0;0;0;0
7445020452;"ООО ""МЭК""";mek-el.ru;mec.ru;www.esbt74.ru;['МЭК'];['МАГНИТОГОРСКАЯ', 'ЭНЕРГЕТИЧЕСКАЯ'];['ЧЕЛЯБИНСКАЯ', 'МАГНИТОГОРСК', 'ПУШКИНА'];[34, 0, 0, 0];[2, 2, 0, 0];[0, 0, 0, 0];34;4;0;0;0;0;0;0;0
4217039402;"ООО ""Металлэнергофинанс""";mef.ru;mef.ru;0;['МЕТАЛЛЭНЕРГОФИНАНС'];[];['КЕМЕРОВСКАЯ', 'НОВОКУЗНЕЦК', 'БАРДИНА'];[7, 0, 4, 0];[];[];11;0;0;4;0;0;0;0;0
4633013798;"АО ""КМА - Энергосбыт""";offerrum.com;;0;['КМА-ЭНЕРГОСБЫТ'];[];['КУРСКАЯ', 'ЖЕЛЕЗНОГОРСК', 'ЛЕНИНА'];[0, 0, 0, 0];[];[];0;0;0;0;0;0;0;0;0
7706284124;"ООО ""РУСЭНЕРГОСБЫТ""";ruses.ru;ruses.ru;0;['РУСЭНЕРГОСБЫТ'];[];['МОСКВА', 'ЯКИМАНКА'];[];[];[];0;0;0;0;0;0;0;0;0
7705424509;"АО ""ЭК ""Восток""";vostok-electra.ru;tyumen.vostok-electra.ru;www.vostok-electra.ru;['ВОСТОК'];['ЭНЕРГОСБЫТОВАЯ'];['МОСКВА', 'БУРДЕНКО'];[];[];[];0;0;0;0;0;0;0;0;0
2205001753;"ОАО ""Алтай-Кокс""";altai.nlmk.com;ru/;altkoks.altai.su;['АЛТАЙ-КОКС'];[];['АЛТАЙСКИЙ', 'ЗАРИНСК'];[60, 0, 15, 14];[60, 0, 15, 14];[];89;89;0;15;15;0;14;14;0
1435028701;"ПАО ""Якутскэнерго""";yakutskenergo.ru;yakutskenergo.ru;www.yakute.elektra.ru;['ЯКУТСКЭНЕРГО'];[];['ЯКУТСК', 'ПОПОВА'];[0, 0, 0, 0];[];[];0;0;0;0;0;0;0;0;0
7725054856;"ОАО ""ВТИ""";vti.ru;vti.ru;www.vti.ru;['ВТИ'];['ВСЕРОССИЙСКИЙ', 'ДВАЖДЫ', 'ОРДЕНА', 'ТРУДОВОГО', 'КРАСНОГО', 'ЗНАМЕНИ', 'ТЕПЛОТЕХНИЧЕСКИЙ', 'НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ', 'ИНСТИТУТ'];['МОСКВА', 'АВТОЗАВОДСКАЯ'];[24, 36, 6, 1];[];[24, 36, 6, 1];67;0;67;6;0;6;1;0;1
7530000048;"ПАО ""ППГХО""";priargunsky.armz.ru;priargunsky.armz.ru;http://priargunsky.armz.ru;['ППГХО'];['ПРИАРГУНСКОЕ', 'ПРОИЗВОДСТВЕННОЕ', 'ГОРНО-ХИМИЧЕСКОЕ', 'ОБЪЕДИНЕНИЕ'];['ЧИТИНСКАЯ', 'КРАСНОКАМЕНСК', 'МКР'];[16, 0, 3, 0];[];[16, 0, 3, 0];19;0;19;3;0;3;0;0;0
7710430593;"АО ""Транссервисэнерго""";tsenergo.ru;tsenergo.ru;http://tsenergo.ru;['ТРАНССЕРВИСЭНЕРГО'];[];['МОСКВА', 'ЛЕНИНСКИЙ'];[4, 0, 0, 0];[];[4, 0, 0, 0];4;0;4;0;0;0;0;0;0
1826002275;"ОАО ""Ижевский автомобильный завод""";ladaizhevsk.ru;;#Н/Д;['ИЖЕВСКИЙ', 'АВТОМОБИЛЬНЫЙ'];[];[];[6, 0, 0, 0];[];[];6;0;0;0;0;0;0;0;0
7704181109;"ООО ""МАРЭМ +""";maremplus.ru;maremplus.ru;0;['МАРЭМ'];['МЕЖРЕГИОНАЛЬНОЕ', 'АГЕНТСТВО', 'РЫНКА', 'ЭЛЕКТРОЭНЕРГИИ', 'МОЩНОСТИ'];['МОСКВА', 'ЩЕПКИНА'];[19, 19, 0, 0];[];[];38;0;0;0;0;0;0;0;0
3666092377;"АО ""АтомСбыт""";atomsbyt.ru;atomsbyt.ru;http://atomsbyt.ru;['АТОМСБЫТ'];['ЭНЕРГЕТИЧЕСКАЯ'];['ВОРОНЕЖСКАЯ', 'ВОРОНЕЖ', 'ДЗЕРЖИНСКОГО'];[10, 2, 9, 1];[];[10, 2, 9, 1];22;0;22;9;0;9;1;0;1
2020004046;"ОАО ""Нурэнерго""";rosseti.ru;about/sites/?ELEMENT_ID=12338;http://nurenergo.ru;['НУРЭНЕРГО'];[];['ГРОЗНЫЙ', 'СТАРОПРОМЫСЛОВСКОЕ'];[0, 0, 0, 0];[6, 0, 2, 1];[0, 0, 0, 0];0;9;0;0;2;0;0;1;0
3444103821;"АО ""ОЭК""";uneco.ru;oek.spb.ru;http://voec.ru;['ОЭК'];['ОПТОВАЯ', 'ЭЛЕКТРИЧЕСКАЯ'];['ВОЛГОГРАД', 'СКОСЫРЕВА'];[10, 0, 0, 0];[7, 0, 0, 0];[2, 7, 3, 0];10;7;12;0;0;3;0;0;0
4029030252;"ПАО ""Калужская сбытовая компания""";ksc.kaluga.ru;;www.ksc.kaluga.ru;['КАЛУЖСКАЯ', 'СБЫТОВАЯ'];[];['КАЛУГА', 'СУВОРОВА'];[0, 0, 0, 0];[];[0, 0, 0, 0];0;0;0;0;0;0;0;0;0
7705018828;"ОАО ""Нижегородская ГЭС""";nizhges.rushydro.ru;nizhges.rushydro.ru;#Н/Д;['НИЖЕГОРОДСКАЯ', 'ГЭС'];[];[];[];[];[];0;0;0;0;0;0;0;0;0
3123110760;"АО ""Белгородэнергосбыт""";belsbyt.ru;;www.pskenergo.ru;['БЕЛГОРОДЭНЕРГОСБЫТ'];['БЕЛГОРОДСКАЯ', 'СБЫТОВАЯ'];['БЕЛГОРОД', 'НАРОДНЫЙ'];[2, 4, 4, 0];[];[0, 5, 3, 0];10;0;8;4;0;3;0;0;0
3250056153;"ОАО ""Брянскэнергосбыт""";elektro-32.ru;elektro-32.ru;www.elektro-32.ru;['БРЯНСКЭНЕРГОСБЫТ'];[];['БРЯНСК', 'ТЮТЧЕВА'];[];[];[9, 0, 20, 0];0;0;29;0;0;20;0;0;0
