INN;Name;Site
7447010227;"АО ""ЧЭМК""";chemk.ru
7327012462;"ПАО ""Ульяновскэнерго""";ulenergo.ru
711008455;"АО ""Каббалкэнерго""";kabbalkenergo.ru
901000327;"АО ""Карачаево-Черкесскэнерго""";kchenergo.ru
1502002701;"АО ""Севкавказэнерго""";sevkavenergo.ru
6315222985;"ПАО ""Самараэнерго""";samaraenergo.ru
3903007130;"ОАО ""Янтарьэнерго""";yantarenergo.ru
1500000113;"ПАО ""Электроцинк""";electrozinc.ugmk.com
6450014808;"ПАО ""Саратовэнерго""";saratovenergo.ru
602013494;"АО ""Ингушэнерго""";ingush-energo.ru
7705035012;"ПАО ""Мосэнерго""";mosenergo.ru
3435900186;"АО ""ВТЗ""";vtz.tmk-group.ru
6612005052;"АО ""РУСАЛ Урал""";uaz.rusal.ru
5921002018;"АО ""ЧМЗ""";http://chmz.ru
2632021520;"ОАО ""Пятигорские электрические сети""";elseti.ru
1501000010;"АО ""Победит""";ao-pobedit.ru
5247004695;"ОАО ""ВМЗ""";omk.ru/vmz/
5835009394;"ОАО ""Пензхиммаш""";phimmash.ru
7525003389;"ОАО ""Жирекенский ГОК""";sibindustry.ru/firm.asp?prm=58276
3800000220;"ПАО ""Иркутскэнерго""";irkutskenergo.ru
4217039402;"ООО ""Металлэнергофинанс""";mef.ru
2205001753;"ОАО ""Алтай-Кокс""";altai.nlmk.com
7725054856;"ОАО ""ВТИ""";vti.ru
7710430593;"АО ""Транссервисэнерго""";tsenergo.ru
1826002275;"ОАО ""Ижевский автомобильный завод""";ladaizhevsk.ru
3666092377;"АО ""АтомСбыт""";atomsbyt.ru
2020004046;"ОАО ""Нурэнерго""";rosseti.ru/about/sites/?ELEMENT_ID=12338
3123110760;"АО ""Белгородэнергосбыт""";belsbyt.ru
3663050467;"ПАО ""ТНС энерго Воронеж""";voronezh.tns-e.ru
3017041554;"ПАО ""Астраханская энергосбытовая компания""";astsbyt.ru
2128700232;"АО ""Чувашская энергосбытовая компания""";sme.ch-sk.ru
3702065117;"ОАО ""Ивэнергосбыт""";ivenergosbyt.energoportal.ru
1001012875;"АО ""ТНС энерго Карелия""";karelia.tns-e.ru
6661105959;"ЗАО ""ЭПК""";eic.ru
6829010210;"ПАО ""Тамбовская энергосбытовая компания""";tesk.su
1215099739;"ПАО ""ТНС энерго Марий Эл""";mari-el.tns-e.ru
6168002922;"ПАО ""ТНС энерго Ростов-на-Дону""";rostov.tns-e.ru
7606052264;"ПАО ""ТНС энерго Ярославль""";yar.tns-e.ru
4401050567;"ПАО ""Костромская сбытовая компания""";k-sc.ru
6027084016;"АО ""Псковэнергосбыт""";pskovenergosbit.ru
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";mechel-energo.ru
3445071523;"ПАО ""Волгоградэнергосбыт""";energosale34.ru
6901068245;"ОАО ""Тверьэнергосбыт""";tveresk.ru
